year,seed,team,conference,wins,losses,ps_per_game,pa_per_game,srs,sos,offensive_rating,defensive_rating,fg_per_game,fga_per_game,fg_pct,fg2_per_game,fg2a_per_game,fg2_pct,fg3_per_game,fg3a_per_game,fg3_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,win_pct
2018,12,Murray State,Ohio Valley,26,5,78.6,66.2,6.87,-3.53,115.3,97.1,27.2,56.3,0.483,18.7,33.9,0.553,8.5,22.5,0.377,15.8,21.5,0.734,10.7,26.4,37.1,14.7,6.8,3.3,12.0,17.5,0.839
2018,11,St. Bonaventure,Atlantic 10,25,7,77.1,70.8,8.87,2.61,109.5,100.6,26.0,57.6,0.451,18.5,38.2,0.485,7.5,19.4,0.386,17.6,23.4,0.752,10.1,25.4,35.5,13.9,7.0,3.5,11.5,19.8,0.781
2018,10,Butler,Big East,20,13,78.9,72.6,16.92,10.55,111.0,102.1,29.1,61.6,0.473,20.9,38.6,0.543,8.2,23.0,0.357,12.5,16.1,0.776,9.3,25.0,34.2,14.0,6.6,2.9,11.2,18.3,0.606
2018,9,Alabama,SEC,19,15,72.3,70.6,12.34,10.64,103.0,100.6,25.3,54.9,0.461,18.9,35.4,0.535,6.4,19.5,0.326,15.4,23.0,0.67,10.0,25.8,35.8,12.7,6.3,5.3,14.3,18.8,0.559
2018,8,Virginia Tech,ACC,21,11,79.8,72.2,14.35,6.71,113.0,102.2,28.2,56.5,0.499,19.5,33.9,0.573,8.8,22.6,0.388,14.6,20.6,0.709,7.5,25.2,32.7,16.4,5.8,2.2,12.0,15.8,0.656
2018,7,Arkansas,SEC,23,11,80.5,75.6,14.76,9.85,111.8,105.0,28.7,60.5,0.474,21.0,41.1,0.512,7.7,19.5,0.395,15.4,22.7,0.681,10.0,24.5,34.5,14.3,6.2,4.7,10.9,20.0,0.676
2018,6,Florida,SEC,20,12,75.8,69.2,16.66,10.08,109.6,100.1,26.3,60.7,0.432,17.2,36.3,0.474,9.1,24.5,0.37,14.2,19.8,0.718,10.8,24.4,35.2,13.1,7.0,4.8,9.9,17.4,0.625
2018,5,West Virginia,Big 12,24,10,80.1,69.6,19.89,9.38,113.2,98.3,28.0,64.2,0.436,19.3,39.5,0.488,8.7,24.6,0.353,15.4,20.1,0.766,14.1,23.8,37.9,15.2,8.1,5.2,11.4,21.6,0.706
2018,4,Wichita State,American,25,7,82.8,71.6,16.58,5.46,117.3,101.6,29.0,60.9,0.476,19.9,37.0,0.538,9.1,23.8,0.381,15.7,21.2,0.739,12.3,28.2,40.5,18.5,4.7,3.8,11.7,17.6,0.781
2018,3,Texas Tech,Big 12,24,9,74.6,64.8,19.38,9.6,108.4,94.2,26.1,56.6,0.46,19.2,37.7,0.511,6.8,19.0,0.359,15.6,22.2,0.704,11.0,25.0,36.0,14.3,7.1,4.3,12.3,18.1,0.727
2018,2,Purdue,Big Ten,28,6,80.4,65.7,23.41,8.74,117.7,96.2,27.9,56.7,0.493,18.4,34.0,0.541,9.5,22.7,0.42,15.0,20.2,0.743,8.6,26.4,35.0,16.2,5.7,4.9,10.8,15.7,0.824
2018,1,Villanova,Big East,30,4,86.6,70.2,26.64,10.24,122.3,99.2,30.5,61.0,0.5,18.9,32.1,0.59,11.6,29.0,0.401,14.0,18.0,0.779,9.6,26.3,35.9,16.4,6.5,4.1,10.7,16.1,0.882
2018,16,Texas Southern,SWAC,16,20,77.4,79.4,-7.53,-5.53,105.8,108.5,25.7,58.6,0.438,17.9,36.9,0.485,7.8,21.7,0.359,18.3,25.2,0.725,10.3,25.8,36.1,12.2,5.8,4.0,12.6,17.5,0.444
2018,15,Lipscomb,Atlantic Sun,23,9,82.1,77.7,-2.1,-3.8,105.0,99.4,28.0,61.8,0.453,19.9,37.2,0.535,8.1,24.6,0.328,18.0,25.0,0.718,10.5,28.2,38.7,15.7,6.5,3.1,14.9,19.9,0.719
