team,year,ps_per_game,pa_per_game,srs,sos,fg_per_game,fga_per_game,fg_pct,fg2_per_game,fg2a_per_game,fg2_pct,fg3_per_game,fg3a_per_game,fg3_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,offensive_rating,defensive_rating
Cincinnati,1995,81.0,71.3,18.6,8.87,29.3,63.0,0.465,22.4,43.4,0.516,6.9,19.7,0.353,15.5,23.5,0.658,,,40.0,16.2,6.7,3.0,15.5,21.8,,
Missouri,1995,77.0,73.4,11.94,8.32,26.1,57.9,0.45,19.9,41.9,0.474,6.2,16.0,0.388,18.7,26.8,0.695,,,40.1,12.7,4.9,3.7,15.5,19.9,,
Indiana,1995,75.6,69.6,14.83,9.03,28.1,57.9,0.484,24.6,48.4,0.509,3.5,9.6,0.36,16.1,24.1,0.666,,,37.8,15.7,5.9,4.7,15.4,18.4,,
Temple,1995,62.7,59.7,12.22,9.26,22.0,56.4,0.39,15.0,33.6,0.447,7.0,22.7,0.306,11.7,19.6,0.6,,,36.2,11.4,7.7,3.8,10.3,16.3,,
Texas,1995,92.9,80.8,15.72,3.65,34.1,71.0,0.48,25.6,48.2,0.531,8.4,22.8,0.37,16.3,25.3,0.645,,,37.7,14.6,11.4,2.6,14.3,21.6,,
Santa Clara,1995,76.3,68.6,9.91,1.99,26.0,58.9,0.441,19.3,41.6,0.462,6.7,17.2,0.39,17.7,24.5,0.721,,,39.6,13.4,7.2,2.6,15.7,20.9,,
Long Beach State,1995,72.4,69.9,5.29,3.67,26.6,56.3,0.473,21.8,40.2,0.541,4.9,16.1,0.303,14.3,22.8,0.627,,,35.0,16.9,8.2,3.0,17.5,20.6,,
Gonzaga,1995,76.5,66.1,8.57,-0.21,25.4,52.5,0.484,17.7,33.4,0.53,7.7,19.1,0.405,17.9,25.5,0.703,,,36.0,13.1,5.1,3.2,13.0,18.6,,
Chattanooga,1995,76.5,72.3,-1.49,-4.56,26.0,58.1,0.447,18.3,35.6,0.514,7.6,22.5,0.34,16.9,24.4,0.693,,,38.0,15.3,8.1,3.5,16.5,18.9,,
FIU,1995,67.3,72.4,-10.49,-5.35,24.5,57.2,0.428,20.2,44.5,0.455,4.2,12.7,0.334,14.1,21.7,0.649,,,34.2,13.3,8.0,2.0,16.5,19.1,,
Kansas,1995,83.0,70.0,22.15,10.02,29.5,62.1,0.475,22.9,43.1,0.531,6.6,19.0,0.35,17.3,26.1,0.664,,,43.5,17.1,6.0,5.8,15.6,18.5,,
Arkansas,1995,87.6,79.9,16.91,10.51,31.4,67.5,0.464,22.1,44.0,0.502,9.3,23.5,0.394,15.6,23.1,0.675,,,39.2,18.5,11.4,3.3,16.2,20.2,,
Purdue,1995,76.4,68.7,13.39,5.74,26.8,56.3,0.476,21.1,41.5,0.508,5.7,14.8,0.388,17.1,25.3,0.675,,,36.6,16.7,6.1,3.6,14.7,17.5,,
Virginia,1995,77.4,66.8,20.64,10.02,27.1,60.9,0.444,20.2,42.1,0.481,6.8,18.9,0.362,16.5,22.9,0.719,,,40.8,14.4,5.9,4.2,13.1,18.2,,
Arizona,1995,84.9,75.8,19.09,10.35,30.6,63.3,0.483,22.7,44.1,0.514,7.9,19.1,0.413,15.8,24.1,0.657,,,41.5,18.0,7.2,3.1,17.0,18.2,,
Memphis,1995,79.4,70.9,14.4,5.81,29.5,63.5,0.465,23.9,47.8,0.5,5.6,15.7,0.357,14.8,23.2,0.64,,,41.9,18.1,8.9,6.4,16.7,18.5,,
Syracuse,1995,82.4,73.4,15.36,7.46,30.9,63.3,0.489,25.6,47.6,0.537,5.3,15.7,0.34,15.2,22.9,0.662,,,38.6,18.1,10.2,4.7,16.6,20.4,,
Western Kentucky,1995,80.4,69.4,7.8,-2.43,29.5,62.2,0.475,24.0,46.9,0.511,5.5,15.3,0.363,15.8,23.6,0.667,,,39.5,15.5,8.6,4.1,15.7,19.1,,
Michigan,1995,70.6,69.7,9.81,8.94,26.7,60.2,0.444,23.0,46.8,0.492,3.7,13.4,0.275,13.5,20.9,0.646,,,37.9,12.3,7.6,4.2,16.8,22.3,,
Southern Illinois,1995,77.7,71.4,8.02,3.34,28.1,61.0,0.46,20.0,40.8,0.491,8.0,20.2,0.398,13.5,20.1,0.674,,,38.6,15.4,7.8,3.2,14.6,19.4,,
Louisville,1995,76.4,72.6,11.6,7.81,28.1,59.9,0.47,21.2,40.9,0.518,6.9,19.0,0.365,13.2,19.7,0.67,,,34.1,15.7,10.2,5.7,15.6,18.8,,
Miami (OH),1995,70.6,60.9,10.1,0.86,25.0,55.1,0.453,19.1,38.3,0.499,5.9,16.8,0.349,14.8,22.0,0.674,,,35.1,13.2,8.4,2.9,12.8,18.0,,
Nicholls State,1995,90.3,78.0,3.0,-5.5,33.3,69.6,0.478,27.8,53.1,0.524,5.5,16.5,0.331,18.3,26.2,0.698,,,38.9,19.7,12.5,3.1,15.1,21.3,,
Green Bay,1995,65.0,58.9,4.78,-1.35,22.6,47.3,0.478,16.4,32.3,0.507,6.3,15.0,0.417,13.5,18.4,0.735,,,29.3,16.7,6.6,1.9,12.0,16.9,,
Texas Southern,1995,83.1,73.4,0.64,-8.1,27.1,64.7,0.419,19.4,40.3,0.482,7.7,24.4,0.315,21.1,30.8,0.687,,,43.4,13.3,8.4,2.6,13.7,19.0,,
Colgate,1995,76.5,77.1,-5.5,-4.93,27.6,60.8,0.454,21.2,42.9,0.494,6.4,17.9,0.358,14.9,23.3,0.64,,,40.7,13.0,6.4,6.3,16.6,19.7,,
UMass,1996,74.8,62.4,21.38,8.92,26.8,59.1,0.454,22.5,46.8,0.481,4.3,12.4,0.35,16.9,24.8,0.68,,,40.1,15.1,8.4,6.3,13.2,17.4,,
Georgetown,1996,83.3,68.8,22.63,9.83,30.3,63.7,0.476,25.2,48.3,0.522,5.1,15.4,0.331,17.6,27.8,0.635,,,43.4,14.1,11.6,5.0,17.0,19.5,,
Texas Tech,1996,82.2,69.4,14.86,2.11,28.4,62.0,0.458,20.5,39.7,0.518,7.8,22.3,0.352,17.6,26.6,0.661,,,42.4,17.5,5.3,3.8,12.8,16.8,,
Marquette,1996,72.9,63.4,14.45,4.93,25.5,58.7,0.435,18.6,39.4,0.473,6.9,19.3,0.359,14.8,20.8,0.714,,,39.5,14.9,5.4,5.4,13.5,18.6,,
Penn State,1996,74.8,64.1,17.08,6.33,26.0,55.5,0.468,19.0,38.3,0.495,7.0,17.2,0.409,15.8,22.9,0.688,,,38.5,16.9,7.4,5.1,15.5,17.5,,
North Carolina,1996,77.6,71.0,18.02,11.42,28.7,58.4,0.492,21.4,39.9,0.536,7.3,18.5,0.396,12.8,19.2,0.67,,,38.8,17.5,5.4,3.4,13.4,14.7,,
